Slab_ID,Pour_Time,Ambient_Temp,Humidity,Water_Cement_Ratio,Time_Since_Pour,Strength
SLAB_0001,2025-03-01 17:37:27.519918,33.36,94.97,0.494,8754.53,164.94
SLAB_0002,2025-03-01 20:24:57.519918,44.68,84.13,0.365,8751.74,310.31
SLAB_0003,2025-03-02 00:15:57.519918,38.36,83.27,0.514,8747.89,215.75
SLAB_0004,2025-03-02 01:45:56.519918,37.69,68.03,0.449,8746.39,210.09
SLAB_0005,2025-03-02 01:48:07.519918,28.32,56.5,0.519,8746.36,117.54
SLAB_0006,2025-03-02 05:07:39.519918,42.64,48.32,0.47,8743.03,258.86
SLAB_0007,2025-03-02 06:01:35.519918,33.55,55.66,0.486,8742.13,158.93
SLAB_0008,2025-03-02 06:57:13.519918,28.24,60.68,0.549,8741.21,115.19
SLAB_0009,2025-03-02 07:46:52.519918,25.25,81.6,0.396,8740.38,111.11
SLAB_0010,2025-03-02 09:19:50.519918,36.2,69.68,0.475,8738.83,188.33
SLAB_0011,2025-03-02 13:46:05.519918,35.55,44.26,0.442,8734.39,180.25
SLAB_0012,2025-03-02 16:08:26.519918,39.39,40.99,0.358,8732.02,230.41
SLAB_0013,2025-03-02 16:52:07.519918,42.81,45.63,0.353,8731.29,263.49
SLAB_0014,2025-03-02 20:35:11.519918,26.59,62.58,0.374,8727.57,116.86
SLAB_0015,2025-03-02 20:56:45.519918,39.63,91.33,0.48,8727.21,219.6
SLAB_0016,2025-03-02 21:10:06.519918,28.75,75.06,0.463,8726.99,132.97
SLAB_0017,2025-03-03 04:15:28.519918,42.16,84.1,0.461,8719.9,261.7
SLAB_0018,2025-03-03 06:39:31.519918,41.38,65.65,0.356,8717.5,252.09
SLAB_0019,2025-03-03 12:49:43.519918,35.82,59.89,0.444,8711.33,190.18
SLAB_0020,2025-03-03 14:32:12.519918,39.2,45.96,0.535,8709.62,210.2
SLAB_0021,2025-03-03 15:00:34.519918,31.29,88.18,0.43,8709.15,152.81
SLAB_0022,2025-03-03 19:05:47.519918,34.42,83.07,0.475,8705.06,176.04
SLAB_0023,2025-03-03 23:00:02.519918,41.43,49.25,0.506,8701.16,240.41
SLAB_0024,2025-03-04 02:34:27.519918,34.19,68.17,0.507,8697.58,171.47
